customer_id,name,email,phone,address,registration_date,loyalty_status,transaction_id,amount,transaction_date,product_category,payment_method,store_location,country_code,CallingCode
1,Michelle Kidd,vayala@example.net,+971 6197234258,"USNS Santiago, FPO AE 80872",25-01-2025,Gold,8.0,2652.57,2025-04-19 14:46:00,Home,Credit Card,New York,AE,971
2,Brad Newton,taylorcatherine@example.net,+356 5376741158,"38783 Oliver Street, West Kristenborough, MT 99752",13-07-2023,Silver,Not Available,2532.5501263157894,Not Available,Not Available,Not Available,Not Available,MT,356
3,Larry Torres,dsanchez@example.net,+1 8102564505,"6845 Steele Turnpike, West Erikabury, UT 37487",18-08-2023,Bronze,Not Available,2532.5501263157894,Not Available,Not Available,Not Available,Not Available,UT,1
4,Kimberly Price,jessicaknight@example.com,+1 4232229779,"1631 Alexis Meadows, Lake Amanda, CA 75179",08-12-2024,Gold,427.0,1787.09,2025-04-28 04:34:07,Beauty,PayPal,Chicago,CA,1
5,Matthew Phillips,qwilliams@example.com,+1 2207633522,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",03-02-2024,Gold,452.0,1983.52,2025-02-03 14:59:13,Sports,PayPal,Online,OR,1
6,Darrell Gallagher DVM,larryharris@example.org,+212 3799503695,"19887 Brandon Bridge, New Rebecca, MA 94947",03-03-2025,Bronze,Not Available,2532.5501263157894,Not Available,Not Available,Not Available,Not Available,MA,212
7,Louis Miller,patriciaelliott@example.org,+1 1988627105,"02590 Marshall Well, Sheppardland, CT 88067",30-09-2024,Gold,470.0,3241.66,2025-05-15 15:17:05,Electronics,PayPal,Los Angeles,CT,1
7,Louis Miller,patriciaelliott@example.org,+1 1988627105,"02590 Marshall Well, Sheppardland, CT 88067",30-09-2024,Gold,857.0,697.57,2025-06-13 12:03:42,Beauty,Debit Card,Chicago,CT,1
8,Melissa Galloway MD,watsonbenjamin@example.net,+1 5485499586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",06-10-2023,Bronze,Not Available,2532.5501263157894,Not Available,Not Available,Not Available,Not Available,NC,1
9,Matthew Harvey,bgaines@example.net,+1 5811447338,"60123 Davis Ford, Mistychester, WA 69400",31-10-2024,Silver,300.0,918.34,2025-05-07 20:01:01,Electronics,PayPal,Miami,WA,1
10,Rachel White,whitemichael@example.org,+972 4107299740,"6182 Brown Mountain, South Gary, IL 29016",25-02-2024,Bronze,173.0,3456.05,2025-04-15 19:26:48,Home,Debit Card,Online,IL,972
10,Rachel White,whitemichael@example.org,+972 4107299740,"6182 Brown Mountain, South Gary, IL 29016",25-02-2024,Bronze,548.0,2954.52,2025-05-21 22:54:54,Sports,Debit Card,Miami,IL,972
10,Rachel White,whitemichael@example.org,+972 4107299740,"6182 Brown Mountain, South Gary, IL 29016",25-02-2024,Bronze,831.0,220.35,2025-05-21 17:47:53,Sports,PayPal,Los Angeles,IL,972
11,Nicole Yang,archerheather@example.org,+1 5896387173,"923 Emily Mills Apt. 281, Port Roy, WI 03921",08-03-2025,Bronze,Not Available,2532.5501263157894,Not Available,Not Available,Not Available,Not Available,WI,1
